contact_id,contact_name,contact_selectable
d7c09d6e-8584-4e94-b91f-8d9a88254770,Abbas Linemarking,1
5bd747ff-3087-46c9-ad12-b72ee8b1e2c9,Mason Development Group Pty Ltd,1
b26955ee-92c6-42f0-849a-f2bffed3a638,Procore (Test Companies),1
eb23bb7c-2432-4577-92ee-bacb5b0ecb93,Architect TEST Company,1
649088c4-30d1-48d6-ae8c-38c47f79ac6f,PRD Morisset,1
e883a823-86e7-4646-97a7-b561c9f21ff5,Encore,1
a75bf670-3e13-4c96-b864-953665a4ca63,Di Prinzio,1
4b3dad5d-e975-4b36-871a-3a2f1e020446,Finnigan Excavations,1
b0b3cd7a-0166-45b8-9dbc-cb28088b5b92,Des - Underboring,1
8ab26a7c-7b59-42ca-9551-dd3b0d7b7bde,MJC,1
97e28127-830d-4ec2-b24b-0fdeb5c3d7ab,Akura Pty Limited,1
144530d7-d8d0-4697-b845-336f8edefa45,Kurri Roofing Pty Ltd,1
cd5bc419-8654-46c6-98f3-9bf304b132e1,PNOC,1
8a63d8e7-89f5-48a9-b196-4599a5ba3643,Prodeco Group,1
fe05cb28-9469-4c8f-ae17-45c308191eef,Eclipse Consulting Engineers,1
365ba9b4-082c-4824-acb3-b4abb28da4bd,Hunter Valley Steel,1
3e5b8cdd-634e-4f2c-8cdd-d290c95920b8,Saddingtons,1
b13b8f15-41c9-4186-af97-ef1c81f78926,Adex Group Pty Ltd,1
bdf17594-a958-4632-b849-41eea2b3f8dd,Ausgrid,1
a018c93d-12f2-4a4a-b4b8-e8bf5dafa857,Boutique Capital Pty Ltd,1
67fd73dc-f267-40c7-9e92-e19eceddd514,Entire Concrete,1
abc97d8b-5dda-4a11-9969-181b01fb6244,Protector,1
29985e31-be92-4621-9ebc-9114ccdaa276,DSP Surveyors,1
c45ed01d-e20b-4f19-8194-9353c85c32bf,Atlantis,1
22d03215-6a61-4a5f-82e4-9dd6aa816a78,Energy Australia,1
20cf2278-511a-4692-8cb8-fd6b1b9aa7f6,CDA Eastland,1
3007a0f7-5e64-4ecb-8fc9-8d9d591b98c9,Steel-Line,1
91daaa61-47de-49b5-87bd-e41a516e60b8,Paul Scrivener Landscape Design,1
3c76c05a-533a-45cb-bf6a-e2fd177d055d,MicroHeat Technologies Pty Ltd,1
b4858bff-6fd2-41c8-b7b9-5e5782736619,Acrocert,1
864fb5b4-9221-4360-b4b0-7092841bddd3,Ausco Modular,1
83c59390-dff8-48ad-9101-4b3335042b6a,Singleton Council,1
5c7c689b-e0c7-49cb-93b9-e0c1abdbe4c2,Laingcon,1
a4e32ee1-aa3a-45ba-95e9-3f0a53fc85f8,Long Service Corporation,1
be93a3d5-7794-4037-867e-08640232987d,Sanko Excavation Environmental & Civil Services,1
87211669-077d-4f34-a0ae-8cee0ebf47d0,Alan's Underoad Drilling Services,1
ac6516ba-5264-495f-8f56-476e01175645,Robert Guy & Sons Pty Ltd,1
50163ab4-8569-417e-970a-8f050ae3817a,Reece,1
2a60d372-e177-497b-93de-0614df06af66,Envirolab Services Pty Ltd,1
1bb03df8-a9a4-480a-a09f-0972eb8a40bc,Bulga Enterprises Pty Ltd,1
d3959129-b669-4936-8ffe-aeea55c9b090,CDA Group Australia,1
cf466efa-e71c-4b04-8246-821f6a80653e,Probe,1
0b29a784-2326-4de7-9edb-2e445d0e85b2,Newcastle Cut N Drill,1
aae23e4c-1567-40a4-ba31-964727adb82a,Lennane Lawn Care,1
7c784fbc-63c3-4ac5-9c43-0cfe57cc50c9,Department Of Planning Industry & Environment,1
97b679f6-5c72-486e-972d-ede8d688217e,Airbnb,1
fe13e71f-743f-496d-abd0-9609f30d8a6b,Kennards Hire,1
2dcb308e-ba68-4874-a18c-821125065f45,SCE Recycling,1
8b171c2a-d8d3-416d-beaa-28ba3d6131b2,Booking.com,1
9bad50c9-5483-4e59-ba6b-e2249d28c739,Imperial Hotel,1
cdd757a6-3782-41ad-8710-203854519904,Property & Building Assessments,1
9609afbe-4bcf-45af-83ed-3954e19205ef,Preston Rowe Paterson,1
2b441321-405a-43c8-819f-5bf244ed470e,Aubrey Brown Lawyers,1
0e37f94e-a9c9-41b8-a50c-c65e1863f43b,Schroders RF,1
630c9747-2c1d-4ebe-b8bb-a6f0312b3701,Evan & Kate Rashford,1
e3dbdf29-442c-4394-80e5-8b8c95646e72,Simplicity Loans & Advisory,1
820cb656-65c1-47f6-85a9-158add9258ca,Powerlink Switchboards Pty Ltd,1
af007c89-d426-4e1d-b1d6-338063e0e619,Man V's Concrete Pty Ltd,1
52b5caa6-015c-4e13-afe7-1f333fdb7f48,Design It Telco Pty Ltd,1
b603dd3b-706a-46f1-a9da-747062ad5044,Advantage Industries,1
eacdf6d3-d3e3-4659-9b09-fe7471aed6ce,Parker Scanlon Pty Ltd,1
680043c3-e0f6-49b9-94d7-494c1e45207c,Precise Doors Pty Ltd,1
40371180-0909-4459-8e89-131580a46dd4,Hunter PCA Pty Ltd,1
f3e90710-25fe-460d-8e7d-3f03f3e38630,Abstract Aluminium and Glazing Co,1
fab0788e-17b6-4af6-a1c8-5049709a0958,Zen Industrial Pty Ltd,1
40108565-08ee-48eb-9af6-855c254e370b,Straight Cuts Bricklaying,1
0db479c9-15eb-4956-936e-5707d83e0e80,Waterways of Singleton,1
c4e98697-2fb5-4253-a28e-d446b30263c5,Waterman,1
56f8b216-8eb0-42b6-92c3-767cb4e9ac9d,Super Cheap 3D,1
6282af0a-7240-46c3-bd55-387599d8ab35,Tony Mexon & Associates,1
29450dce-2e60-41d8-a6b4-d4e1e4f6df8a,Tutt Bryant Hire,1
2cb5eef2-09f7-47fa-ade0-fb77c375d3d5,Zond Property Group,1
965e4e68-452f-494e-a50f-f4e7308b31fc,Qualtest,1
46870254-f496-4eb0-a902-bb0d13e185fb,Lawler Electrical Solutions,1
c241f5d4-f86f-4a46-96e9-256e28f6263b,Glendale Select Plants,1
ecfa3e14-6034-492d-946d-0d6f53028e71,Precision Power and Electrical,1
9a929a77-83fd-4b90-901e-304a0b535498,Newcastle Sideloaders Pty Ltd,1
43df050e-c60e-4640-a65d-2010510d0cb6,Acres 2 Mow,1
6d050ca3-e04f-413c-97d3-02c1941578bd,Borger Cranes,1
29b75df4-a88e-47c5-8e2c-e972a401a80f,Employ Me Labour Hire,1
384cd465-49df-43fc-99cc-9071c2cd216b,Pelican Carrying Co,1
5068c4d4-2470-49ab-b43e-1bb7ff9261d4,Access Solutions NSW,1
6dda4be7-5c75-48bf-b98f-e7474493d792,Frank's Painting and Resurfacing,1
28d2f7ad-e186-433e-8711-eec647a46a99,Eaton Building Materials,1
6a10b4f7-d1db-4719-8d77-1980b6d2198c,Olympic Fencing,1
bb9a3acd-b7f0-41bd-86b9-6c7396ff4ff7,Keim,1
46b4d8ab-866d-4984-9e10-3b72da0e966d,Beaumont Tiles,1
7ac4a0dd-7bcf-44f5-8f47-90c9f1c39da5,Wet-Seal,1
db66df87-d2b0-45bc-8c72-f8f408c3612a,Jacob Briggs Project Management,1
4be98a53-da6e-4cfc-96b3-7d5b0ea6ed56,Singleton Reinforcement,1
1ca3e78b-4a87-4b44-bbab-a40cf875b522,J.J. Richards,1
18d45bb7-2b49-4e0f-ad18-37b249882977,Singleton Bulk Landscaping Supplies,1
8263cece-8cd4-4266-9d9e-7b6acc22d3ee,Corner Takeaway Singleton,1
9a73f585-eb7e-4078-902c-9037836aa6f2,Moore Civil,1
97885c75-50a6-4bc9-9588-1edcd58ae71e,Eastern Cladding,1
ad179d61-ee54-46ef-973d-d48b6991405e,Fire Extinguisher Shop,1
2e567a75-418b-4ae1-9db6-a8a611c04df9,JDS Bricklaying,1
b77522ed-2aac-405e-8ca3-906f62aa9fe0,NBNCo Limited,1
d5c0600b-264b-4578-81c9-0071066da212,Access Hire,1
ead8db87-4e87-47c5-a901-d832be0e90fe,Barnson,1
fa13fd30-73da-4cbe-9e12-6454fdcdb42b,Budget Toilet Hire,1
db0a4fc4-3663-451b-80fc-5960bced2a24,BCD Restoration Excavation,1
9366e5d4-299c-44af-b020-6c3384cbb4c2,Dean's Turf Supplies,1
71f44ed2-8b81-4242-83a7-73203a6c3997,Coast N Country Constructions,1
95075dca-1572-4a36-a44c-2a9aeaeffd79,Skelton Valuers,1
9dadc127-912c-41a5-9ce6-6d3b9dd0d61d,RHS Steel Supplies,1
feef5206-2912-47b5-b4ef-d3ec0759e93a,Hunter Valley Landscape Supplies,1
a8633690-abb7-4027-b021-a62fd3159f8d,Interfy,1
2c7c9852-3bf4-4d76-ba74-efa22537d68c,Yara Law,1
ae1e14e5-cf98-4959-8dc7-e75b96700e21,Amarcon Group,1
3ad71076-d1db-4f4d-b17b-0dc6c97a0db7,Enter Vietnam,1
de1ca1cd-bd71-4d0a-8889-4fa91e67c327,Mason Build Pty Ltd,1
82e269e5-6fe8-4415-b02e-791051620565,The Trustee for 65 Spitfire Place Trust,1
a8c51537-e9bd-4fe7-8337-b4a642eb6f70,Teasco Facades,1
5ac78ad0-4c30-41a5-a60a-2dc3d3800a8f,Advenser,1
28cc4bd0-64d4-4eb7-becd-3c747a5cc8c6,Next Level Electrical Pty Ltd,1
4311c256-40e7-4e9b-b577-dea759c75dc2,Cultured Group (Aus),1
da780861-8ff2-45f9-8886-1c245f196a34,JB Hi Fi,1
88081b88-60a5-460d-a884-a773cfbd33ad,Windows Doors,1
e58434ad-d9e7-44e3-b482-c163d9f2420c,41 Accolade Avenue Pty Ltd atf 41 Accolade Avenue Trust,1
86bcfde7-f0a1-4dcb-816f-3f1c9fb7b84b,INSURANCE INVESTMENT SOLUTIONS PTY LTD,1
e7158d2e-4deb-46ec-a4a5-bd206f591504,"INSURANCE INVESTMENT SOLUTIONS PTY LTD ABN 94 604 594 345 PO Box 56, Bowral NSW 2576 AUSTRALIA",1
54a2470a-7c37-4008-90af-9d172888f7f0,AGL Energy Ltd,1
6af1a911-8c5c-494f-a861-95f0e41c56cd,The Bronte,1
2b2efc4d-a038-4876-980d-49d01f1b2580,Taizhou Huangyan Plastic Factory,1
79e70ba7-8a39-4448-b6af-885e7bb2c962,NAB,1
2309540f-7e94-4f48-932d-8474a06f924a,Metroll Pty Ltd,1
54ed101f-aa9d-4963-8ece-05606ec8e8d7,Greenleaf Workx,1
2d81983a-7a84-477d-be6b-5f41e91963a1,Murphys Plumbing,1
b3229921-0450-477e-8f94-ce3f412ef816,Earthbolt,1
7f61828b-74e8-466a-bfad-90235f998255,Mineral Paints Australia,1